Name,Description,Quantity,Why,Link
12mm Button,A tactile switch that either connects a cirucuit or disconnects depending on input,2,So you can click stuff to memorize for the minigame,https://www.amazon.com/Uxcell-a11111400ux0132-Momentary-Tactile-Button/dp/B0090VQLDK
SH 1107 OLED,Display used to show camera input and modes,1,To see what inputs to do next and other data,https://www.amazon.com/ACEIRMC-ILI9341-Display-Touch-240X320/dp/B0C4D5S6G5/ref=sr_1_10_sspa?crid=1KKGFFL8GGC72&dib=eyJ2IjoiMSJ9.aNbS-hCnwROiq-lihDWLj0bSTkExzZcUEg9Thz-MRRtS2XSDTZusdgq0aD1F0WmFP2z1icua7XtMO6m0dMOpn8SqrOFp1HIlcN4kiqw6-RlV7hZO4ruwCns7e_xrwwarWxaiSyrChwiIRUrUY_RlX9OKgmKKALx-gO4lSBbiMaZfKv6a7KsmvzFghX94ueB0tjP9qSX40MXT01v37X8MMYSJqIt6UnkreQ59ftwFdiegDUDVujNbTPq7P3rk02P9OOVeiCEMzoFH8qXlYbO1NNMZsi5VeRhwTNT7sHwGj98.L9Ilfuyvs66CsTIbDNYf3OsazpswS6k4iaS05y2B6dk&dib_tag=se&keywords=ili9341&qid=1781262418&s=electronics&sprefix=ili%2Celectronics%2C409&sr=1-10-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
Arduino Zero 2 W,The Microcontroller that will control all functions of the minigame as well as logic.,1,To control the whole camera and logic,http://amazon.com/HiLetgo-ESP-WROOM-32-Development-Microcontroller-Integrated/dp/B0718T232Z/ref=sr_1_3?crid=1USIEYMJJ17B2&dib=eyJ2IjoiMSJ9.qMJJKscaTbDZH8KOrPXaSvvBOSev_9dSPToXjxjL2hvyn1gBn6UPJN0hkgfCA46MeGIMW0m_k8uVP6ohS8y2Ybx0WAhwI7WeRI7HGIEx1FzRCBDUpYc9OEv48KKiBbsEpRw-msTD6rmtDv4Xvt-FdBguBvBYlMMj4hzZRICsg1IFudiHZVD_F8MFEsmYWqc5av-fzu7UHVx2QYcllMYcUQXPrnJ9yVsP_ArNuaKStI0.KplrsOIrBP554ZSAFR6EYMaRAuKfkU4c-5f2bEqIvqA&dib_tag=se&keywords=esp32&qid=1781262965&sprefix=esp%2Caps%2C477&sr=8-3&th=1
Half Breadboard,A module used to have extra ports and have more leeway in circuit connections,1,For extra ports to connect GND and PWR and other wires too.,https://www.amazon.com/WWZMDiB-SYB-170-Breadboard-Plates-Multicolored/dp/B09YXQJMTG/ref=sr_1_3?crid=2AKGMD1N41ZHO&dib=eyJ2IjoiMSJ9.EQvCK09g_r0CejNbKABqFdsxqhs5KyJ1I0W1Q395qgARL8M_eCKhoj9mKheDOgAb_PUbl3fS3TNz_-PkcA5Ur8CU2_LE8D1_eW4bH6tGqQ7fgX-P_ELVVSjGnskkUdkdZKxuxYHAbqnzcsl53FGLHvlJk3CfdosCvz8g7-GZr3ywx0Ic_oW_dglX5jAHgBxu-roh24M2mq6ot_Jl_-sd2wQRqCW9XuF1Zhf4ILJQ5lI.RYnkEh1qahxXQ1VyEr87oe8Coe7Rg22-y_Lfwkx4oYs&dib_tag=se&keywords=half+breadboard&qid=1781695848&sprefix=half+breadboard%2Caps%2C403&sr=8-3
Dupont Female-Female Wires,Used to connect modules to microcontroller and circuits.,5,"Bruh, so the whole thing can get some electricity.",https://www.amazon.com/EDGELEC-Breadboard-Multicolored-1pin-1pin-Connector/dp/B07GD1ZCHQ/ref=sr_1_4?crid=22XZN3ECARPWX&dib=eyJ2IjoiMSJ9.BMvrgU_YjBIEPI70oBIcSePG-SiwkwmsyvjcXrOVmvjOivrVNfyWIWPypWgQjoWl0QFh0DfyI3T1lrZIdhwNQVdSIpBQ8u8d-SXUUyP-Y7Gf5kNd0cSF_G1JgKvwP-uXXcnQ_qInWJjuSEWU1rc_gPTLVCO4Iqb41M_NPZPtnjvmACjo_njy-R-m6JMwGhfB6ZKCcwXyh7mIsjN4ULPxnzTyrH9rVQSmG6qqbMuxsSrnoucJmJBmwFL76Te_GLO9OXvklvR6CX8V3Q7VIjGGIjRDimlyy8-34EKMueEh6fs.PRv0-t_59pw5klThDzEdfxulLbCQwVp-hBzknAfuOSU&dib_tag=se&keywords=male%2Bto%2Bmale%2Bjumper%2Bwires%2B5cm%2Bshort&qid=1781853276&s=industrial&sprefix=male%2Bto%2Bmale%2Bjumper%2Bwires%2Bshort%2Cindustrial%2C427&sr=1-4&th=1
3D Printer Enclousure.,The host for all modules necessary in the build,1,To put all of the modules into one area ,can print through hackclub or by yourself with step file
Sony IMX576 24MP Camera,A module that uses photons to create an image (a camera),1,So the camera becomes a camera,https://sincerefirst.en.made-in-china.com/product/BANRFcJrLdWv/China-24MP-Sony-Imx576-Image-Sensor-Autofocus-Lens-24-Pin-Camera-Module-Smartphone.html
Ribbon Flex Extension Cables for Pi Zero&W,A 15mm to 22mm ribbion cable ,1,So the IMX576 can connect to the Rasberry Pi Zero 2W,https://www.amazon.com/Arducam-Raspberry-Camera-Ribbon-Extension/dp/B085RW9K13/?_encoding=UTF8&pd_rd_w=x8UbO&content-id=amzn1.sym.a9c4acee-9ca0-46be-bae3-532a2b4b0d29%3Aamzn1.symc.5a16118f-86f0-44cd-8e3e-6c5f82df43d0&pf_rd_p=a9c4acee-9ca0-46be-bae3-532a2b4b0d29&pf_rd_r=9X4HZN75VZ4YB08QZNPW&pd_rd_wg=kdRp2&pd_rd_r=617b9bf0-440a-42f2-9107-20efd28b610a&ref_=pd_hp_d_atf_ci_mcx_mr_
USB C connector,A module in which a usb C port is included,1,For easy connectivity for the camera for data and power.,https://www.amazon.com/Teansic-Connector-Breakout-Converter-Transfer/dp/B0B4J5NJ2Y/ref=sr_1_3?crid=3IMY4LTK8CFVK&dib=eyJ2IjoiMSJ9._TAav2gmYgzR2fvtTjBYdAncdrRe2JEXz48orUvk4PvnixvgSd7BiMozddiG7ZqMbsxeniI0Ob2XsravI7RVDWU9wPSSekozCTOZsiTwrHoj6EjdCvLMxAoIVEarxsqKP2s8pnMNgndUzJS0R_ih4MMafPWaCmU0tkK2XNSFuRgQQ34bmeG-38jUrw3OvX0DvpUaffIyZVBVBOiWMfQ7aq90x1VNnlj6ZZpW5zrZNUPzYi4rJBfmeRi_U5-NS81sxeag735exzMIqGvhppiLU2VINXloYt8rCbBx6tvqG2A.UchCu6BU6WBTt3usZwzm49mGplQKhnHKdiVavSk4A58&dib_tag=se&keywords=usb%2Bc%2Bconnector%2Bmodule&qid=1781853104&s=industrial&sprefix=usb%2Bc%2Bconnector%2Bmod%2Cindustrial%2C388&sr=1-3&th=1
PCB,A electrical component custom made for a specific task,1,For the buttons up top to connect to the rasberry PI Zero.,https://www.pcbway.com/
THE LINKS USED MIGHT HAVE MULTIPLE PIECES SINCE THEY ARE THE BEST BANG FOR BUCK ON AMAZON.***,,,,
